baitID	intscore	rank	SIP
492178	279.617643836608	13292	1
158156	279.693396830487	13293	1
108736	280.138473937923	13294	1
698602	280.274844770474	13295	1
69192	280.312128277664	13296	1
278766	280.332779774879	13297	1
43598	280.452095288352	13298	1
219824	280.553592993084	13299	1
92803	280.816318487665	13300	1
206993	281.063644952484	13301	1
83899	281.522448220434	13302	1
527332	281.532064155429	13303	1
294328	281.558432822041	13304	1
259575	281.799731065528	13305	1
590889	281.814509212679	13306	1
622243	281.836729041636	13307	1
618895	282.182527718612	13308	1
65891	282.232099525352	13309	1
704757	282.301824096228	13310	1
582066	282.533732376229	13311	1
112978	282.601552870154	13312	1
383599	282.935390432139	13313	1
139060	283.495813491244	13314	1
108075	283.639756632777	13315	1
329359	283.696690721227	13316	1
