baitID	intscore	rank	SIP	MKSpecific
328397	5.58721084423522	884	0	0
328398	6.15357108728365	1378	0	0
328436	8.06332863040916	2068	0	0
328455	10.6067967827398	2406	0	0
328476	20.7301798363047	4658	0	0
328480	52.6779544293881	7981	0	0
328511	45.8067505787395	7482	0	0
328514	12.0466041186982	2998	0	0
328528	8.07201789000335	2069	0	0
328536	12.6732826771988	3217	0	0
328554	29.6105128806736	5849	0	0
328555	43.7921020276979	7315	0	0
328558	79.5079616067051	9502	0	0
328560	37.2581006395268	6705	0	0
328569	17.8567938452684	4161	0	0
328573	51.1065728869797	7878	0	0
328611	35.6529424595477	6532	0	0
328616	28.8490462269487	5770	0	0
328652	14.7631746507074	3606	0	0
328685	33.9899310469265	6321	0	0
328700	17.0589203854303	3998	0	0
328715	5.36247378462722	591	0	0
328717	6.09373699343387	1327	0	0
328718	16.9559866832044	3970	0	0
328719	5.28451618084089	475	0	0
328723	64.1393992079032	8728	0	0
328730	12.0430206897596	2996	0	0
328735	175.202352562269	12018	0	0
328745	18.2074892485586	4238	0	0
328756	30.7738926175067	5975	0	0
328764	184.77324247427	12154	0	0
328807	17.630084326303	4121	0	0
328837	6.32442825987224	1494	0	0
328846	36.4348902935859	6621	0	0
328853	54.9341371239605	8143	0	0
328854	74.9858939821488	9278	0	0
328855	35.365103927927	6494	0	0
328863	51.2881075428376	7890	0	0
328865	40.5886914950415	7052	0	0
328866	6.25392337935682	1442	0	0
328875	7.69468121622925	2002	0	0
328883	266.217730563384	13056	0	0
328888	114.144608507555	10714	0	0
328902	197.512189949382	12349	0	0
328905	170.582090512987	11932	0	0
328911	279.749609303817	13155	1	0
328912	72.6510372829084	9193	0	0
328917	253.278160091272	12936	0	0
328921	53.8709013107353	8072	0	0
328928	78.7167225074607	9468	0	0
328932	21.5845694783283	4770	0	0
328938	6.60776207325052	1648	0	0
328955	8.43511278141932	2129	0	0
328966	8.1748123557364	2086	0	0
329241	36.7946141440206	6657	0	0
329244	41.2060054255548	7110	0	0
329246	193.58843339927	12286	0	0
329247	64.7655421540524	8765	0	0
329257	81.7039134657845	9603	0	0
329262	119.674559296503	10865	0	0
329265	7.08417082375828	1845	0	0
329272	41.7370515521789	7159	0	0
329277	17.328074897042	4062	0	0
329284	22.0582182653163	4859	0	0
329289	41.5393116082806	7139	0	0
329298	17.5186922792244	4100	0	0
329299	94.0718169151692	10050	0	0
329333	26.9521768568436	5499	0	0
329342	66.0334320799383	8833	0	0
329359	200.176446655537	12390	0	0
329362	64.1358725162716	8727	0	0
329369	39.9750869897464	6995	0	0
